run_id,polymer_id,reference_polymer_id,fog,fog_sem,fog_activity_adjusted,fog_activity_adjusted_sem,log_fog,fog_missing_reason,gox_t50_same_run_min,t50_min,abs_activity_at_0,gox_abs_activity_at_0_ref,gox_abs_activity_at_0,abs0_vs_gox,activity_weight,t50_censored,use_for_bo,rank_fog
260216-1,PMTAC,GOX,2.2004571472598777,,1.543846820005556,,0.7886651329870791,,8.754330259067764,19.26352858803908,14.883333333333336,21.213333333333328,21.213333333333328,0.7016027655562542,0.7016027655562542,0,True,1
260216-1,PMBTA-5,GOX,1.4430110029686187,,1.4321271990493079,,0.366731904827541,,8.754330259067764,12.632594887455902,21.053333333333327,21.213333333333328,21.213333333333328,0.9924575738529227,0.9924575738529227,0,True,2
260216-1,PMBTA-4,GOX,1.4173185431243478,,1.4173185431243478,,0.3487667365203248,,8.754330259067764,12.407674608811318,27.09666666666666,21.213333333333328,21.213333333333328,1.2773412947831553,1.0,0,True,3
260216-1,PMBTA-6,GOX,1.381095368453589,,1.381095368453589,,0.322876929576167,,8.754330259067764,12.090564974711596,26.98333333333333,21.213333333333328,21.213333333333328,1.2719987429289756,1.0,0,True,4
260216-1,PMPC,GOX,1.3736517411797393,,1.3736517411797393,,0.31747269819377766,,8.754330259067764,12.025401003230913,22.273333333333326,21.213333333333328,21.213333333333328,1.049968573224387,1.0,0,True,5
260216-1,PMBTA-1,GOX,1.2919938946931626,,1.2919938946931626,,0.2561866798795567,,8.754330259067764,11.310541246843163,26.733333333333327,21.213333333333328,21.213333333333328,1.2602137020741673,1.0,0,True,6
260216-1,PMBTA-10,GOX,1.6557743267852916,,1.2833725375952625,,0.5042687705807987,,8.754330259067764,14.495195291164034,16.442222222222224,21.213333333333328,21.213333333333328,0.7750890425309033,0.7750890425309033,0,True,7
260216-1,PMBTA-3,GOX,1.2418527536751522,,1.2418527536751522,,0.21660442066588295,,8.754330259067764,10.871589138805012,25.513333333333325,21.213333333333328,21.213333333333328,1.2027027027027026,1.0,0,True,8
260216-1,GOx with EtOH,GOX,1.3097188212638433,,1.1662753865653994,,0.2698124739179354,,8.754330259067764,11.465711107860628,18.89,21.213333333333328,21.213333333333328,0.8904776869893152,0.8904776869893152,0,False,9
260216-1,PMBTA-11,GOX,1.1486075182538045,,1.1486075182538045,,0.13855035500717358,,8.754330259067764,10.055289552842009,30.623333333333328,21.213333333333328,21.213333333333328,1.4435889377749844,1.0,0,True,10
260216-1,PMBTA-2,GOX,1.0797197951912794,,1.0797197951912794,,0.07670155857647708,,8.754330259067764,9.452223674357466,27.82,21.213333333333328,21.213333333333328,1.3114393463230676,1.0,0,True,11
260216-1,GOx with DMSO,GOX,1.027217311910387,,1.027217311910387,,0.026853507306855467,,8.754330259067764,8.99259959629535,22.01333333333333,21.213333333333328,21.213333333333328,1.0377121307353865,1.0,0,False,12
260216-1,PMBTA-7,GOX,1.0132812926267185,,1.0132812926267185,,0.013193869470782995,,8.754330259067764,8.870599080989379,27.693333333333324,21.213333333333328,21.213333333333328,1.3054682589566309,1.0,0,True,13
260216-1,GOx,GOX,1.0,,1.0,,0.0,,8.754330259067764,8.754330259067764,21.213333333333328,21.213333333333328,21.213333333333328,1.0,1.0,0,True,14
260216-1,PMBTA-8,GOX,0.9735814015036475,,0.9735814015036475,,-0.026773840301831723,,8.754330259067764,8.523053122848983,28.0,21.213333333333328,21.213333333333328,1.3199245757385296,1.0,0,True,15
260216-1,PMBTA-9,GOX,0.9691170961212507,,0.9691170961212507,,-0.03136983216181206,,8.754330259067764,8.483971119154148,29.82333333333333,21.213333333333328,21.213333333333328,1.405876807039598,1.0,0,True,16
