run_id,polymer_id,reference_polymer_id,fog_native_constrained,fog_native_constrained_sem,fog,native_activity_rel_at_0,native_activity_min_rel_threshold,native_activity_feasible,fog_constraint_reason,abs_activity_at_0,gox_abs_activity_at_0_ref,gox_abs_activity_at_0,abs0_vs_gox,t50_min,use_for_bo,rank_fog_native_constrained
260216-3,PMBTA-10,GOX,1.8926232232929203,,1.8926232232929203,0.7255170673405511,0.7,1,,15.164688644688642,20.90190476190476,20.90190476190476,0.7255170673405511,16.942124729062243,True,1
260216-3,PMTAC,GOX,1.5663974258418545,,1.5663974258418545,0.8314741712472612,0.7,1,,17.379393939393943,20.90190476190476,20.90190476190476,0.8314741712472612,14.02186142349128,True,2
260216-3,PMBTA-6,GOX,1.3294349885666028,,1.3294349885666028,1.3861575613979131,0.7,1,,28.97333333333333,20.90190476190476,20.90190476190476,1.3861575613979131,11.900653610435423,True,3
260216-3,PMPC,GOX,1.320451595184955,,1.320451595184955,1.0721283091083063,0.7,1,,22.409523809523805,20.90190476190476,20.90190476190476,1.0721283091083063,11.820237302905758,True,4
260216-3,PMBTA-4,GOX,1.319886081850699,,1.319886081850699,1.3746753542625412,0.7,1,,28.733333333333324,20.90190476190476,20.90190476190476,1.3746753542625412,11.81517501828038,True,5
260216-3,PMBTA-1,GOX,1.3140697803544232,,1.3140697803544232,1.2451815737914065,0.7,1,,26.026666666666664,20.90190476190476,20.90190476190476,1.2451815737914065,11.763109449075174,True,6
260216-3,PMBTA-5,GOX,1.2990551914932047,,1.2990551914932047,1.0672073631931471,0.7,1,,22.306666666666665,20.90190476190476,20.90190476190476,1.0672073631931471,11.628703913883776,True,7
260216-3,PMBTA-3,GOX,1.2857730460331172,,1.2857730460331172,1.2104160021870873,0.7,1,,25.3,20.90190476190476,20.90190476190476,1.2104160021870873,11.509806627680751,True,8
260216-3,PMBTA-11,GOX,1.149812018947334,,1.149812018947334,1.4177336310201845,0.7,1,,29.63333333333332,20.90190476190476,20.90190476190476,1.4177336310201845,10.29272937171693,True,9
260216-3,GOx with EtOH,GOX,1.1048769662874585,,1.1048769662874585,0.9431357360914928,0.7,1,,19.713333333333324,20.90190476190476,20.90190476190476,0.9431357360914928,9.890485936520127,False,10
260216-3,PMBTA-2,GOX,1.029888270424765,,1.029888270424765,1.3694126759921625,0.7,1,,28.623333333333324,20.90190476190476,20.90190476190476,1.3694126759921625,9.21921242421216,True,11
260216-3,GOx,GOX,1.0,,1.0,1.0,0.7,1,,20.90190476190476,20.90190476190476,20.90190476190476,1.0,8.95166270843128,True,12
260216-3,PMBTA-7,GOX,0.9900034463426063,,0.9900034463426063,1.2940265184307649,0.7,1,,27.04761904761904,20.90190476190476,20.90190476190476,1.2940265184307649,8.862176931843557,True,13
260216-3,GOx with DMSO,GOX,0.9886879324504056,,0.9886879324504056,1.0462933430537202,0.7,1,,21.869523809523805,20.90190476190476,20.90190476190476,1.0462933430537202,8.85040089519232,False,14
260216-3,PMBTA-8,GOX,0.9585968415857503,,0.9585968415857503,1.2996764933703921,0.7,1,,27.16571428571428,20.90190476190476,20.90190476190476,1.2996764933703921,8.581035599243169,True,15
260216-3,PMBTA-9,GOX,0.9542658336885992,,0.9542658336885992,1.3626008110447894,0.7,1,,28.48095238095237,20.90190476190476,20.90190476190476,1.3626008110447894,8.54226587736032,True,16
