run_id,polymer_id,reference_polymer_id,objective_loglinear_main,objective_loglinear_main_exp,abs0_vs_solvent_control,fog_vs_solvent_control,fog_sem,fog,abs_activity_at_0,gox_abs_activity_at_0_ref,gox_abs_activity_at_0,abs0_vs_gox,t50_min,solvent_group,solvent_control_polymer_id,use_for_bo,rank_objective_loglinear_main
260216-group_mean,PMBTA-4,GOX,0.5718755729633032,1.7715866774345506,1.340810222947254,1.3212807055874027,0.09238709482795082,1.3249390189442969,28.179999999999993,21.01714285714285,21.01714285714285,1.340810222947254,12.043771106895894,PBS,GOx,True,1
260216-group_mean,PMBTA-6,GOX,0.5642738254416848,1.7581705802973973,1.3374796084828715,1.3145401015060882,0.06402731197096412,1.3170754336433914,28.11,21.01714285714285,21.01714285714285,1.3374796084828715,11.98232898310323,PBS,GOx,True,2
260216-group_mean,PMBTA-11,GOX,0.4722084636960584,1.6035316270162823,1.3889908464745335,1.1544580233097181,0.0056217611147356674,1.1542354146887455,29.192619047619043,21.01714285714285,21.01714285714285,1.3889908464745335,10.523144799182099,PBS,GOx,True,3
260216-group_mean,PMBTA-1,GOX,0.3839577273558837,1.4680833806039744,1.4068560037345916,1.0435207133543523,0.016761741192366175,1.2752390547234698,26.54904761904761,21.01714285714285,21.01714285714285,1.2632091716512597,11.618041082951244,ETOH,GOx with EtOH,True,4
260216-group_mean,PMBTA-3,GOX,0.3791043194575394,1.4609754359590974,1.2090130505709624,1.2084033627835071,0.032181703909680226,1.2096776831577936,25.40999999999999,21.01714285714285,21.01714285714285,1.2090130505709624,11.014868713834488,PBS,GOx,True,5
260216-group_mean,PMTAC,GOX,0.34801726091329455,1.416256695413068,0.7296280504885727,1.9410666770071623,0.24614170071733363,1.950813313949256,15.334696969696969,21.01714285714285,21.01714285714285,0.7296280504885727,17.693259776092937,PBS,GOx,True,6
260216-group_mean,PMBTA-2,GOX,0.32750625761858665,1.3875037337399598,1.3600802066340403,1.0201631690338233,0.05728235156796379,1.0224314164794825,28.584999999999994,21.01714285714285,21.01714285714285,1.3600802066340403,9.29901696707714,PBS,GOx,True,7
260216-group_mean,PMBTA-5,GOX,0.3079658195880451,1.3606544804116456,1.0275738626064892,1.3241427501476943,0.11437670218414052,1.3286718006400489,21.596666666666664,21.01714285714285,21.01714285714285,1.0275738626064892,12.06985928742871,PBS,GOx,True,8
260216-group_mean,PMBTA-9,GOX,0.2646758640195722,1.3030085553656408,1.3729721769077399,0.9490422146065087,0.01931522042753392,0.949807052260653,28.855952380952374,21.01714285714285,21.01714285714285,1.3729721769077399,8.650733455175143,PBS,GOx,True,9
260216-group_mean,PMBTA-10,GOX,0.2746265112824709,1.3160390573267948,0.8306735105266918,1.584303629102552,0.06875692814838497,1.587026243003256,17.45838383838384,21.01714285714285,21.01714285714285,0.8306735105266918,14.44128427218104,PBS,GOx,True,10
260216-group_mean,PMBTA-7,GOX,0.24278076661121067,1.2747891171428054,1.315547398948704,0.9690180058594088,0.042582530406796715,0.9707041746911879,27.64904761904761,21.01714285714285,21.01714285714285,1.315547398948704,8.832817289830174,PBS,GOx,True,11
260216-group_mean,PMPC,GOX,0.23217696581649927,1.2613429236591902,1.1915870752848259,1.0585402861622097,0.07813965932725397,1.2960146586106913,22.486666666666665,21.01714285714285,21.01714285714285,1.069920246510785,11.785261543165348,ETOH,GOx with EtOH,True,12
260216-group_mean,PMBTA-8,GOX,0.199322013317764,1.2205749440116849,1.3018850824723585,0.9375443043665107,0.03466946754172039,0.9389171343750792,27.36190476190476,21.01714285714285,21.01714285714285,1.3018850824723585,8.545927414677784,PBS,GOx,True,13
260216-group_mean,GOx with DMSO,GOX,0.039652638293360194,1.0404492991705006,1.042958129418162,0.9975945053047709,0.02852448782986283,0.9987240084569252,21.919999999999995,21.01714285714285,21.01714285714285,1.042958129418162,9.0932985160381,PBS,GOx,False,14
260216-group_mean,GOx,GOX,0.0,1.0,1.0,1.0,0.0,1.0,21.01714285714285,21.01714285714285,21.01714285714285,1.0,9.115225141762428,PBS,GOx,True,15
260216-group_mean,GOx with EtOH,GOX,0.0,1.0,1.0,1.0,0.08494390497162996,1.2247819121930936,18.87119047619047,21.01714285714285,21.01714285714285,0.8978951422874751,11.133503086494136,ETOH,GOx with EtOH,False,16
