run_id,polymer_id,reference_polymer_id,functional_activity_at_20_rel,functional_activity_at_20_rel_sem,abs_activity_at_20,gox_abs_activity_at_20_ref,abs_activity_at_0,gox_abs_activity_at_0_ref,gox_abs_activity_at_0,abs0_vs_gox,use_for_bo,rank_functional
all_rounds-group_mean,PMBTA-11,GOX,1.075795215505786,0.09537250838398109,8.877437641723356,8.304015873015873,28.444693877551014,25.546095238095234,25.546095238095234,1.1134654283733072,True,1
all_rounds-group_mean,GOx,GOX,1.0,0.0,8.304015873015874,8.304015873015874,25.546095238095234,25.546095238095234,25.546095238095234,1.0,True,2
all_rounds-group_mean,PMBTA-4,GOX,0.892667932400359,0.0816058294992832,7.190030525030524,8.20095238095238,28.179047619047612,28.233333333333327,25.546095238095234,1.1030667253219204,True,3
all_rounds-group_mean,PMBTA-9,GOX,0.884451066080478,0.0734044035419418,7.2202395382395395,8.221565079365078,29.099333333333327,27.69588571428571,25.546095238095234,1.1390912412296725,True,4
all_rounds-group_mean,GOx with DMSO,GOX,0.8508338966397742,0.0988143781142267,6.568571428571428,7.925396825396825,26.92888888888889,26.95333333333333,25.546095238095234,1.0541293547176471,True,5
all_rounds-group_mean,PMBTA-5,GOX,0.8302635207507449,0.09666564620893692,6.716049783549783,8.17338492063492,29.647499999999994,28.39735714285714,25.546095238095234,1.160549184667119,True,6
all_rounds-group_mean,PMBTA-7,GOX,0.7962496236694709,0.1029651518476173,6.382301587301588,8.221565079365078,29.75333333333333,27.69588571428571,25.546095238095234,1.1646920226369515,True,7
all_rounds-group_mean,PMBTA-10,GOX,0.7857255366314063,0.10147711861898953,6.6589078465394245,8.304015873015873,17.371194083694085,25.546095238095234,25.546095238095234,0.6799941017126387,True,8
all_rounds-group_mean,PMBTA-3,GOX,0.7300685568453467,0.053525361576320235,5.915874819624818,8.20095238095238,25.12607142857142,28.233333333333327,25.546095238095234,0.9835581991842942,True,9
all_rounds-group_mean,PMBTA-6,GOX,0.7283840663262064,0.029312758041990118,5.9523982683982695,8.221565079365078,30.92095238095238,27.69588571428571,25.546095238095234,1.210398383500973,True,10
all_rounds-group_mean,PMPC,GOX,0.7109150585491029,0.038903735760011944,5.89999398749399,8.304015873015873,23.815555555555548,25.546095238095234,25.546095238095234,0.9322581527074618,True,11
all_rounds-group_mean,PMBTA-1,GOX,0.6918938320065925,0.10786678384053551,5.483268398268397,8.20095238095238,28.88333333333333,28.233333333333327,25.546095238095234,1.1306359372786448,True,12
all_rounds-group_mean,PMBTA-8,GOX,0.6797514620742557,0.05997381751129126,5.46787012987013,8.221565079365078,28.560666666666663,27.69588571428571,25.546095238095234,1.1180051745863686,True,13
all_rounds-group_mean,PMBTA-2,GOX,0.6031075994922688,0.057294855698889376,4.854978354978355,8.20095238095238,27.475357142857135,28.233333333333327,25.546095238095234,1.0755208139162074,True,14
all_rounds-group_mean,PMTAC,GOX,0.5644024930390191,0.07641271880374315,4.697709798256267,8.304015873015873,18.132863756613755,25.546095238095234,25.546095238095234,0.7098096044664154,True,15
all_rounds-group_mean,GOx with EtOH,GOX,0.5361747215968393,0.07999886875467126,4.905519480519481,9.13333333333333,28.743333333333332,32.294999999999995,25.546095238095234,1.1251556476807565,True,16
