polymer_id,n,mean_obj,sd_obj,cv_obj
PMBTA-10,2,0.8512447223284078,0.17060848955514468,0.2004223757046971
PMBTA-6,5,0.7726944109912125,0.20266909466037328,0.26228880625704193
PMBTA-1,5,0.739548514038858,0.1975881034665226,0.26717395778059905
PMBTA-3,5,0.9503853229313307,0.2661068744246352,0.279998930963986
PMBTA-9,5,0.8578147482661713,0.24263303298023464,0.2828501532185689
PMBTA-8,5,0.7780481173274214,0.22581306535851492,0.2902302059854318
PMBTA-5,5,0.8447471358243007,0.2502809431469948,0.2962791260638862
PMBTA-2,5,0.7808415173850447,0.24484764992620756,0.31356894385710476
PMPC,3,0.8926902651173982,0.2930465830217067,0.3282735283140653
PMBTA-7,5,0.8002613853010697,0.2655716704283202,0.33185616013249014
PMBTA-4,5,0.9195133283096506,0.3278895935918784,0.3565903652474954
PMBTA-11,5,1.0681186252787742,0.40199601767623305,0.3763589625368754
PMTAC,3,0.5989876144308325,0.23317194750098424,0.38927674276295
